active,passive,verb,bad,exclude,match
The accident wrecked the car.,The car was wrecked by the accident.,wreck,,?,True
The explosion wrecked the building.,The building was wrecked by the explosion.,wreck,,,True
The vandalism wrecked the statue.,The statue was wrecked by the vandalism.,wreck,,,True
The students wrecked the classroom.,The classroom was wrecked by the students.,wreck,,,True
The fire wrecked the cabin.,The cabin was wrecked by the fire.,wreck,,,True
The earthquake wrecked the bridge.,The bridge was wrecked by the earthquake.,wreck,,,True
The neglect wrecked the garden.,The garden was wrecked by the neglect.,wreck,,,True
The collision wrecked the truck.,The truck was wrecked by the collision.,wreck,,,True
The child broke the toy.,The toy was broken by the child.,break,,,False
The storm broke the window.,The window was broken by the storm.,break,,,False
The artist broke the silence.,The silence was broken by the artist.,break,x,,False
The athlete broke the record.,The record was broken by the athlete.,break,,,False
The chef broke the eggs.,The eggs were broken by the chef.,break,,,False
The mechanic broke the engine.,The engine was broken by the mechanic.,break,,,False
The worker broke the equipment.,The equipment was broken by the worker.,break,,,False
The dog broke the leash.,The leash was broken by the dog.,break,,,False
The team broke the pattern.,The pattern was broken by the team.,break,,,False
The artist chipped the wood.,The wood was chipped by the artist.,chip,,,True
The child chipped the paint.,The paint was chipped by the child.,chip,,,True
The mason chipped the stone.,The stone was chipped by the mason.,chip,,,True
The worker chipped the ice.,The ice was chipped by the worker.,chip,,,True
The athlete chipped the golf ball.,The golf ball was chipped by the athlete.,chip,,,True
The carpenter chipped the corner.,The corner was chipped by the carpenter.,chip,,,True
The sculptor chipped the marble.,The marble was chipped by the sculptor.,chip,,,True
The technician chipped the circuit.,The circuit was chipped by the technician.,chip,x,,True
The chef chipped the onion.,The onion was chipped by the chef.,chip,x,,True
The child cracked the egg.  ,The egg was cracked by the child.,crack,,,True
The mechanic cracked the code.  ,The code was cracked by the mechanic.,crack,,,True
The team cracked the case.  ,The case was cracked by the team.,crack,,,True
The artist cracked the frame.  ,The frame was cracked by the artist.,crack,,,True
The storm cracked the window.  ,The window was cracked by the storm.,crack,,,True
The chef cracked the nut.  ,The nut was cracked by the chef.,crack,,,True
The player cracked the bat.  ,The bat was cracked by the player.,crack,,,True
The scientist cracked the formula.  ,The formula was cracked by the scientist.,crack,,,True
The builder cracked the rock.  ,The rock was cracked by the builder.,crack,,,True
The child ripped the paper.,The paper was ripped by the child.,rip,,,True
The wind ripped the banner.,The banner was ripped by the wind.,rip,,,True
The cat ripped the fabric.,The fabric was ripped by the cat.,rip,,,True
A thief ripped the wallet.,The wallet was ripped by a thief.,rip,x,,True
The athlete ripped the jersey.,The jersey was ripped by the athlete.,rip,,,True
The student ripped the page.,The page was ripped by the student.,rip,,,True
A dog ripped the cushion.,The cushion was ripped by a dog.,rip,,,True
The artist ripped the canvas.,The canvas was ripped by the artist.,rip,,,True
The mechanic ripped the manual.,The manual was ripped by the mechanic.,rip,,,True
The child shattered the glass.,The glass was shattered by the child.,shatter,,,True
A storm shattered the window.,The window was shattered by a storm.,shatter,,,True
The artist shattered the sculpture.,The sculpture was shattered by the artist.,shatter,,,True
The player shattered the record.,The record was shattered by the player.,shatter,,,True
An earthquake shattered the building.,The building was shattered by an earthquake.,shatter,,,True
The bullet shattered the mirror.,The mirror was shattered by the bullet.,shatter,,,True
The wind shattered the branches.,The branches were shattered by the wind.,shatter,,,True
The crowd shattered the silence.,The silence was shattered by the crowd.,shatter,,,True
The hammer shattered the tile.,The tile was shattered by the hammer.,shatter,,,True
The child smashed the cookie.  ,The cookie was smashed by the child.,smash,,,True
The team smashed the previous record.  ,The previous record was smashed by the team.,smash,,,True
The storm smashed the porch.  ,The porch was smashed by the storm.,smash,,,True
The artist smashed the clay.  ,The clay was smashed by the artist.,smash,,,True
The player smashed the ball.  ,The ball was smashed by the player.,smash,,,True
The chef smashed the garlic.  ,The garlic was smashed by the chef.,smash,,,True
The crowd smashed the piñata.  ,The piñata was smashed by the crowd.,smash,,,True
The toddler smashed the toy.  ,The toy was smashed by the toddler.,smash,,,True
The workers smashed the concrete.  ,The concrete was smashed by the workers.,smash,,,True
The photographer snapped a picture.,The picture was snapped by the photographer.,snap,,,False
The child snapped the pencil.,The pencil was snapped by the child.,snap,,,True
A woman snapped the stick.,The stick was snapped by a woman.,snap,,,True
The musician snapped a string.,The string was snapped by the musician.,snap,,,False
The artist snapped a photo.,The photo was snapped by the artist.,snap,,,False
The teacher snapped the book closed.,The book was snapped closed by the teacher.,snap,x,,True
The dog snapped the toy.,The toy was snapped by the dog.,snap,x,,True
The athlete snapped the ribbon.,The ribbon was snapped by the athlete.,snap,,,True
The athlete snapped the twig.,The twig was snapped by the athlete.,snap,,,True
The team split the prize.,The prize was split by the team.,split,,,True
The company split the profits.,The profits were split by the company.,split,,,True
The child split the cookie.,The cookie was split by the child.,split,,,True
The storm split the tree.,The tree was split by the storm.,split,,,True
The chef split the ingredients.,The ingredients were split by the chef.,split,,,True
The artist split the canvas.,The canvas was split by the artist.,split,,,True
The friends split the bill.,The bill was split by the friends.,split,,,True
The judge split the evidence.,The evidence was split by the judge.,split,,,True
The workers split the workload.,The workload was split by the workers.,split, ,,True
The child tore the paper.  ,The paper was torn by the child.,tear,,,False
The cat tore the fabric.  ,The fabric was torn by the cat.,tear,,,False
A student tore the exam sheet.  ,The exam sheet was torn by a student.,tear,,,False
The artist tore the canvas.  ,The canvas was torn by the artist.,tear,,,False
The dog tore the toy.  ,The toy was torn by the dog.,tear,,,False
The wind tore the flags.  ,The flags were torn by the wind.,tear,,,False
The athlete tore the finish line ribbon.  ,The finish line ribbon was torn by the athlete.,tear,,,False
The editor tore the page from the book.  ,The page was torn from the book by the editor.,tear,,,False
The player tore the playbook.  ,The playbook was torn by the player.,tear,,,False
The artist creased the paper.,The paper was creased by the artist.,crease,,,True
A student creased the page.,The page was creased by a student.,crease,,,True
The designer creased the fabric.,The fabric was creased by the designer.,crease,,,True
The child creased the napkin.,The napkin was creased by the child.,crease,,,True
The photographer creased the backdrop.,The backdrop was creased by the photographer.,crease,,,True
The tailor creased the pants.,The pants were creased by the tailor.,crease,,,True
The editor creased the report.,The report was creased by the editor.,crease,,,True
The opponent creased the card.,The card was creased by the opponent.,crease,,,True
The chef creased the foil.,The foil was creased by the chef.,crease,,,True
The blacksmith bent the metal.  ,The metal was bent by the blacksmith.,bend,,,True
A child bent the spoon.  ,The spoon was bent by a child.,bend,,,True
The artist bent the wire.  ,The wire was bent by the artist.,bend,,,True
The gardener bent the branch.  ,The branch was bent by the gardener.,bend,,,True
