active,passive,verb
The discovery astonished the scientists.,The scientists were astonished by the discovery.,astonish
The results astonished the students.,The students were astonished by the results.,astonish
The painting astonished the visitors.,The visitors were astonished by the painting.,astonish
The story astonished the readers.,The readers were astonished by the story.,astonish
The skill amazed the coaches.,The coaches were amazed by the skill.,astonish
The event astonished the locals.,The locals were astonished by the event.,astonish
The child bothered the cat.,The cat was bothered by the child.,bother
The loud noise bothered the neighbors.,The neighbors were bothered by the loud noise.,bother
The teacher bothered the student.,The student was bothered by the teacher.,bother
The call bothered the woman.,The woman was bothered by the call.,bother
The question bothered the audience.,The audience was bothered by the question.,bother
The delay bothered the passengers.,The passengers were bothered by the delay.,bother
The comment bothered the author.,The author was bothered by the comment.,bother
The incident bothered the community.,The community was bothered by the incident.,bother
The remark bothered the host.,The host was bothered by the remark.,bother
The teacher calmed the students.  ,The students were calmed by the teacher.,calm
The mother calmed the baby.  ,The baby was calmed by the mother.,calm
The dog calmed the frightened child.  ,The frightened child was calmed by the dog.,calm
The music calmed the audience.  ,The audience was calmed by the music.,calm
The coach calmed the players.  ,The players were calmed by the coach.,calm
The leader calmed the crowd.  ,The crowd was calmed by the leader.,calm
The therapist calmed the patient.  ,The patient was calmed by the therapist.,calm
The rain calmed the tense atmosphere.  ,The tense atmosphere was calmed by the rain.,calm
The scenery calmed the weary traveler.  ,The weary traveler was calmed by the scenery.,calm
The friends cheered up the sad girl.,The sad girl was cheered up by the friends.,cheer up
The crowd cheered up the players.,The players were cheered up by the crowd.,cheer up
The surprise party cheered up the birthday boy.,The birthday boy was cheered up by the surprise party.,cheer up
The comedian cheered up the audience.,The audience was cheered up by the comedian.,cheer up
The sunshine cheered up the gloomy day.,The gloomy day was cheered up by the sunshine.,cheer up
The kind words cheered up the anxious student.,The anxious student was cheered up by the kind words.,cheer up
The concert cheered up the downtown area.,The downtown area was cheered up by the concert.,cheer up
The puppy cheered up the lonely woman.,The lonely woman was cheered up by the puppy.,cheer up
The gift cheered up the sick child.,The sick child was cheered up by the gift.,cheer up
The friend comforted the child.,The child was comforted by the friend.,comfort
The therapist comforted the patient.,The patient was comforted by the therapist.,comfort
The dog comforted the owner.,The owner was comforted by the dog.,comfort
The teacher comforted the student.,The student was comforted by the teacher.,comfort
The mother comforted the baby.,The baby was comforted by the mother.,comfort
The neighbor comforted the widow.,The widow was comforted by the neighbor.,comfort
The volunteer comforted the victim.,The victim was comforted by the volunteer.,comfort
The partner comforted the friend.,The friend was comforted by the partner.,comfort
The community comforted the family.,The family was comforted by the community.,comfort
The magician dazzled the audience.  ,The audience was dazzled by the magician.,dazzle
The sunrise dazzled the morning sky.  ,The morning sky was dazzled by the sunrise.,dazzle
The performance dazzled the critics.  ,The critics were dazzled by the performance.,dazzle
The diamond dazzled the jeweler.  ,The jeweler was dazzled by the diamond.,dazzle
The lights dazzled the spectators.  ,The spectators were dazzled by the lights.,dazzle
The artwork dazzled the museum visitors.  ,The museum visitors were dazzled by the artwork.,dazzle
The child dazzled the spectators with talent.  ,The spectators were dazzled by the child with talent.,dazzle
The fireworks dazzled the crowd.  ,The crowd was dazzled by the fireworks.,dazzle
The display dazzled the shoppers.  ,The shoppers were dazzled by the display.,dazzle
The news depressed the audience.,The audience was depressed by the news.,depress
The movie depressed the critics.,The critics were depressed by the movie.,depress
Rainy weather depressed the children.,The children were depressed by rainy weather.,depress
High bills depressed the family.,The family was depressed by high bills.,depress
The book depressed the readers.,The readers were depressed by the book.,depress
The speech depressed the crowd.,The crowd was depressed by the speech.,depress
The loss depressed the team.,The team was depressed by the loss.,depress
The memory depressed the woman.,The woman was depressed by the memory.,depress
The economy depressed the investors.,The investors were depressed by the economy.,depress
The movie disgusted the audience.,The audience was disgusted by the movie.,disgust
The smell disgusted the guests.,The guests were disgusted by the smell.,disgust
The report disgusted the readers.,The readers were disgusted by the report.,disgust
The behavior disgusted the teachers.,The teachers were disgusted by the behavior.,disgust
The article disgusted the critics.,The critics were disgusted by the article.,disgust
The scene disgusted the viewers.,The viewers were disgusted by the scene.,disgust
The food disgusted the diners.,The diners were disgusted by the food.,disgust
The news disgusted the citizens.,The citizens were disgusted by the news.,disgust
The situation disgusted the employees.,The employees were disgusted by the situation.,disgust
The loud music distracted the students.,The students were distracted by the loud music.,distract
The bright lights distracted the drivers.,The drivers were distracted by the bright lights.,distract
The funny movie distracted the audience.,The audience was distracted by the funny movie.,distract
The strange noise distracted the dog.,The dog was distracted by the strange noise.,distract
The unexpected event distracted the guests.,The guests were distracted by the unexpected event.,distract
The colorful painting distracted the visitors.,The visitors were distracted by the colorful painting.,distract
The unexpected question distracted the speaker.,The speaker was distracted by the unexpected question.,distract
